407840732,阿楚姑娘,袁娅维,http://music.163.com/song?id=407840732,http://m2.music.126.net/mHBvAaxUpzJZ9Zv32pjFnw==/3443670426776603.mp3
28815250,平凡之路（电影《后会无期》主题曲）,朴树,http://music.163.com/song?id=28815250,http://m2.music.126.net/_5z1k5eBEvbf_RhgOPR9zQ==/18763165929893626.mp3
416552313,我可以忘记你,张碧晨,http://music.163.com/song?id=416552313,http://m2.music.126.net/aPifVMRxz7PpZr16faCmyw==/3446968956153055.mp3
407450218,有理想,李荣浩,http://music.163.com/song?id=407450218,http://m2.music.126.net/pMsmJoGnRkbo-y0JQkIk1g==/1397479282336892.mp3
411921579,樱花樱花想见你,钢琴版,http://music.163.com/song?id=411921579,http://m2.music.126.net/Rvsg3BS9VHa6-beuJsMiPQ==/1416170985750062.mp3
37115900,Stay,Kygo/Maty Noyes,http://music.163.com/song?id=37115900,http://m2.music.126.net/U79oXwGCobdz_lJHRL6iwA==/3383197283570002.mp3
413829020,琥珀,浩子,http://music.163.com/song?id=413829020,http://m2.music.126.net/kx3JRRTLvhQfIfBWfcDvCQ==/19045740416424506.mp3
427614721,还爱吗,丁爽,http://music.163.com/song?id=427614721,http://m2.music.126.net/3yuhYnE_tX_xS8BB9Tf5Ag==/1387583689181406.mp3
406000162,We Are Young,MattyB,http://music.163.com/song?id=406000162,http://m2.music.126.net/NJl6GrI8hnLhgmsWYbqNZA==/3427177764920231.mp3
422428548,Landing Guy,刘昊霖/kidult.,http://music.163.com/song?id=422428548,http://m2.music.126.net/ry8n-ymx9cu_797xpAFrUQ==/3402988499400084.mp3
34770182,Parade,Meg Myers,http://music.163.com/song?id=34770182,http://m2.music.126.net/G4vEY17-5Nh_jLCMn8LPEw==/3360107535290043.mp3
428375722,不说（电影《从你的全世界路过》路过版主题曲）,李荣浩,http://music.163.com/song?id=428375722,http://m2.music.126.net/bg7yQF2zZHxPCDhF8mSmIQ==/3250156389612540.mp3
416890133,要不要突然去掀女孩子的裙子呢,泥鳅Niko,http://music.163.com/song?id=416890133,http://m2.music.126.net/h3KRk3SVlFBL5o8dhQDGMA==/1373290034693295.mp3
